n_estimators,max_depth,class_weight,max_features,min_samples_split,auc_score,train_time_sec
600,10,balanced,log2,5,0.8242421197970546,8.825952529907227
600,10,balanced,sqrt,10,0.8237453997020254,10.116201400756836
300,10,balanced,log2,5,0.8236766379885071,4.242146730422974
600,10,balanced,sqrt,2,0.8235411832843033,9.631025791168213
800,10,balanced,sqrt,2,0.8232269759988362,16.672595262527466
800,10,balanced,sqrt,10,0.8231022799945799,18.49540877342224
800,10,balanced,log2,5,0.823022080039354,16.02371335029602
800,10,balanced,log2,2,0.8228744822498029,15.859136581420898
800,10,balanced,sqrt,5,0.8219492610698593,17.565419673919678
300,10,balanced,sqrt,10,0.8212072027320803,5.061097621917725
600,10,balanced,log2,2,0.8197199209248275,8.304673433303833
600,10,balanced,log2,10,0.8196840853818407,8.478156328201294
800,10,balanced,log2,10,0.8193285381776049,15.765326023101807
300,10,balanced,log2,2,0.8187606662404594,4.111088514328003
600,10,balanced,sqrt,5,0.8186574334394874,9.862754106521606
100,10,balanced,sqrt,10,0.8174922680142577,2.864473819732666
300,10,balanced,log2,10,0.8172682402723782,4.063659191131592
800,8,balanced,sqrt,10,0.8161626650849108,16.09413719177246
800,8,balanced,sqrt,2,0.8155892113856706,16.57069182395935
300,10,balanced,sqrt,2,0.8154669518793471,4.911012172698975
800,8,balanced,log2,10,0.8152392999642789,14.179983854293823
600,8,balanced,log2,10,0.8150542384680102,7.548929452896118
600,8,balanced,sqrt,10,0.8147640655592019,9.136526107788086
800,8,balanced,sqrt,5,0.8145246429452759,16.493841886520386
600,8,balanced,sqrt,2,0.8144623416842077,9.199208498001099
300,10,balanced,sqrt,5,0.8143898271169929,4.752045392990112
300,8,balanced,sqrt,10,0.8128525421714886,7.2810585498809814
300,8,balanced,sqrt,2,0.812814765547318,7.2126240730285645
100,10,balanced,log2,5,0.8126645521539236,2.582210063934326
600,8,balanced,sqrt,5,0.8122830924209069,9.17853307723999
300,8,balanced,sqrt,5,0.8121708277054666,7.055286645889282
600,8,balanced,log2,5,0.8112689946075338,8.203256368637085
300,8,balanced,log2,5,0.8108754659446646,3.8201162815093994
800,8,balanced,log2,5,0.8100688892212964,15.490493297576904
300,8,balanced,log2,10,0.8095867429448479,3.6814422607421875
100,10,balanced,sqrt,2,0.8095386118395519,3.1091275215148926
600,8,balanced,log2,2,0.8079721303057876,8.087549686431885
100,10,balanced,log2,2,0.8076232781618082,2.5318219661712646
800,8,balanced,log2,2,0.8076050576964875,14.776693105697632
100,8,balanced,sqrt,2,0.8052064034694691,2.760486602783203
100,8,balanced,sqrt,5,0.805036677003539,2.7216291427612305
300,8,balanced,log2,2,0.8050028432516266,4.087744474411011
100,10,balanced,log2,10,0.8040937584774395,2.553457498550415
100,8,balanced,sqrt,10,0.7995253680237722,2.7656359672546387
100,10,balanced,sqrt,5,0.7973079501072659,2.952897548675537
100,8,balanced,log2,5,0.7948901551851393,2.3960859775543213
100,8,balanced,log2,2,0.7912533406307792,2.416271209716797
600,6,balanced,sqrt,10,0.7857086397726593,7.673942565917969
800,6,balanced,sqrt,10,0.7853658187794024,14.21782112121582
600,6,balanced,sqrt,5,0.7830314762994112,7.874830961227417
600,6,balanced,sqrt,2,0.781540571632234,7.872089385986328
800,6,balanced,sqrt,5,0.781530470974682,11.1790132522583
800,6,balanced,sqrt,2,0.7801310939202382,10.72874641418457
100,8,balanced,log2,10,0.7798604852260976,2.2824599742889404
300,6,balanced,sqrt,10,0.7780279975452324,5.7974207401275635
300,6,balanced,sqrt,2,0.777035591976915,3.9479622840881348
300,6,balanced,sqrt,5,0.7769186052766879,4.618230581283569
100,6,balanced,sqrt,5,0.7759423843789168,2.453626871109009
800,6,balanced,log2,10,0.775511258899499,12.77061128616333
600,6,balanced,log2,5,0.7752974951476482,6.724810600280762
600,6,balanced,log2,10,0.7747954149639446,6.551415920257568
800,6,balanced,log2,5,0.7741226904650119,13.244867086410522
100,6,balanced,sqrt,2,0.7727004618182923,2.478834390640259
300,6,balanced,log2,5,0.7718304501888735,5.5656585693359375
300,6,balanced,log2,10,0.7691298619601699,5.51590895652771
800,6,balanced,log2,2,0.7688646133541391,12.872009754180908
600,6,balanced,log2,2,0.7678117571936168,6.6105568408966064
300,6,balanced,log2,2,0.765473063481384,5.701082706451416
100,6,balanced,sqrt,10,0.7649465974763665,2.4386253356933594
100,6,balanced,log2,5,0.758133304085351,2.1224734783172607
100,6,balanced,log2,2,0.7448663790539183,2.179708242416382
100,6,balanced,log2,10,0.7402396569916511,2.179724931716919
800,4,balanced,sqrt,10,0.688072755704515,9.71481442451477
800,4,balanced,sqrt,2,0.686925844309799,10.426210165023804
800,4,balanced,sqrt,5,0.6863605054855472,9.735515832901001
600,4,balanced,sqrt,2,0.6817650599848367,6.994612216949463
600,4,balanced,sqrt,10,0.6814004919783645,6.745281219482422
600,4,balanced,sqrt,5,0.6806975474331806,6.777551651000977
800,4,balanced,log2,10,0.6769360101259149,8.465081691741943
800,4,balanced,log2,2,0.6752072075306499,8.654907464981079
800,4,balanced,log2,5,0.6744848144477988,8.60330080986023
600,4,balanced,log2,10,0.6726018427608601,6.04293155670166
600,4,balanced,log2,2,0.6707101413903063,6.0020592212677
600,4,balanced,log2,5,0.6702818183610453,6.025812387466431
300,4,balanced,log2,10,0.6685487491695941,3.0653676986694336
300,4,balanced,log2,2,0.6672911694066825,5.07130765914917
300,4,balanced,log2,5,0.666198371179904,2.9948129653930664
300,4,balanced,sqrt,2,0.6656851614912611,5.880699634552002
300,4,balanced,sqrt,5,0.6641574724339555,5.921493291854858
300,4,balanced,sqrt,10,0.6618499937462401,6.010839462280273
100,4,balanced,sqrt,5,0.6589270568620808,2.157853364944458
100,4,balanced,log2,10,0.6578988029969719,1.9705076217651367
100,4,balanced,sqrt,2,0.6573056289720618,2.161545753479004
100,4,balanced,log2,2,0.6562914336766815,1.9833779335021973
100,4,balanced,log2,5,0.6560369601663145,1.9501140117645264
100,4,balanced,sqrt,10,0.6541744025801495,2.1749186515808105
